window_size,Machining_Process,num_windows,k,silhouette_score,davies_bouldin_score,calinski_harabasz_score,bic,aic,cluster_sizes
10,Layer 3 Down,424,3,0.33685415009927366,1.970212973964067,54.82972748949647,43002.31655454469,38413.96854976688,"{np.int64(0): np.int64(322), np.int64(1): np.int64(71), np.int64(2): np.int64(31)}"
10,Layer 3 Down,424,4,0.34555996959251367,1.695421001264857,66.50431599526881,39223.387472857205,33104.24022200171,"{np.int64(0): np.int64(312), np.int64(1): np.int64(62), np.int64(2): np.int64(31), np.int64(3): np.int64(19)}"
10,Layer 3 Down,424,5,0.3486964723654416,1.7326327216049822,64.57160250935439,38188.137532437664,30538.191035504497,"{np.int64(0): np.int64(280), np.int64(1): np.int64(58), np.int64(2): np.int64(31), np.int64(3): np.int64(18), np.int64(4): np.int64(37)}"
10,Layer 3 Down,424,6,0.20250948582615735,1.9324179899936456,58.50733071845871,36102.96722131656,26922.221478305717,"{np.int64(0): np.int64(235), np.int64(1): np.int64(58), np.int64(2): np.int64(31), np.int64(3): np.int64(10), np.int64(4): np.int64(17), np.int64(5): np.int64(73)}"
10,Layer 3 Down,424,7,0.23814400425960514,1.747332869516002,61.480493883967654,33441.30089378082,22729.755904692287,"{np.int64(0): np.int64(240), np.int64(1): np.int64(55), np.int64(2): np.int64(22), np.int64(3): np.int64(10), np.int64(4): np.int64(12), np.int64(5): np.int64(68), np.int64(6): np.int64(17)}"
10,Layer 3 Down,424,8,0.22728027183036886,1.7840343014962157,58.67030680466617,35123.22200820974,22880.877773043532,"{np.int64(0): np.int64(246), np.int64(1): np.int64(54), np.int64(2): np.int64(6), np.int64(3): np.int64(22), np.int64(4): np.int64(16), np.int64(5): np.int64(13), np.int64(6): np.int64(11), np.int64(7): np.int64(56)}"
10,Layer 3 Down,424,9,0.21381018131873053,1.762756546922981,55.677863555841206,34571.77939358292,20798.63591233903,"{np.int64(0): np.int64(239), np.int64(1): np.int64(47), np.int64(2): np.int64(6), np.int64(3): np.int64(22), np.int64(4): np.int64(16), np.int64(5): np.int64(13), np.int64(6): np.int64(11), np.int64(7): np.int64(61), np.int64(8): np.int64(9)}"
10,Layer 3 Up,497,2,0.2832264959544769,1.903513227174863,87.55945536990573,52572.36315164491,49394.87768194196,"{np.int64(0): np.int64(349), np.int64(1): np.int64(148)}"
10,Layer 3 Up,497,3,0.3064897287102243,1.724185621737946,74.30509284333928,49880.31618203994,45111.98368247246,"{np.int64(0): np.int64(343), np.int64(1): np.int64(100), np.int64(2): np.int64(54)}"
10,Layer 3 Up,497,4,0.3402991627866285,1.667787140405621,88.58262433972494,42773.13661500503,36413.95708557303,"{np.int64(0): np.int64(41), np.int64(1): np.int64(97), np.int64(2): np.int64(54), np.int64(3): np.int64(305)}"
